water_temp_c,water_absolute_viscosity_poises,water_density_kgm3,water_density_Mg_m3
57.3,4829099.691,983.6428735,0.983642873
57.4,4821513.009,983.58532,0.98358532
57.5,4813946.187,983.5276675,0.983527667
57.6,4806399.154,983.469916,0.983469916
57.7,4798871.844,983.4120655,0.983412065
57.8,4791364.188,983.354116,0.983354116
57.9,4783876.118,983.2960675,0.983296067
58,4776407.567,983.23792,0.98323792
58.1,4768958.468,983.1796735,0.983179673
58.2,4761528.754,983.121328,0.983121328
58.3,4754118.358,983.0628835,0.983062883
58.4,4746727.215,983.00434,0.98300434
58.5,4739355.257,982.9456975,0.982945697
58.6,4732002.42,982.886956,0.982886956
58.7,4724668.638,982.8281155,0.982828115
58.8,4717353.845,982.769176,0.982769176
58.9,4710057.977,982.7101375,0.982710137
59,4702780.97,982.651,0.982651
59.1,4695522.758,982.5917635,0.982591763
59.2,4688283.277,982.532428,0.982532428
59.3,4681062.465,982.4729935,0.982472993
59.4,4673860.257,982.41346,0.98241346
59.5,4666676.589,982.3538275,0.982353827
59.6,4659511.4,982.294096,0.982294096
59.7,4652364.626,982.2342655,0.982234265
59.8,4645236.204,982.174336,0.982174336
59.9,4638126.073,982.1143075,0.982114308
60,4631034.17,982.05418,0.98205418
60.1,4623960.433,981.9939535,0.981993954
60.2,4616904.802,981.933628,0.981933628
60.3,4609867.215,981.8732035,0.981873204
60.4,4602847.611,981.81268,0.98181268
60.5,4595845.929,981.7520575,0.981752057
60.6,4588862.108,981.691336,0.981691336
60.7,4581896.09,981.6305155,0.981630515
60.8,4574947.813,981.569596,0.981569596
60.9,4568017.217,981.5085775,0.981508577
61,4561104.244,981.44746,0.98144746
61.1,4554208.835,981.3862435,0.981386243
61.2,4547330.929,981.324928,0.981324928
61.3,4540470.469,981.2635135,0.981263514
61.4,4533627.396,981.202,0.981202
61.5,4526801.651,981.1403875,0.981140388
61.6,4519993.177,981.078676,0.981078676
61.7,4513201.916,981.0168655,0.981016865
61.8,4506427.81,980.954956,0.980954956
61.9,4499670.802,980.8929475,0.980892947
62,4492930.836,980.83084,0.98083084
62.1,4486207.853,980.7686335,0.980768633
62.2,4479501.798,980.706328,0.980706328
62.3,4472812.614,980.6439235,0.980643923
62.4,4466140.244,980.58142,0.98058142
62.5,4459484.634,980.5188175,0.980518817
62.6,4452845.728,980.456116,0.980456116
62.7,4446223.469,980.3933155,0.980393316
